global_coverage,n_rules,average_crowding_distance,average_error,overlap_mean_jaccard,overlap_redundancy,overlap_gini_coverage,coverage_mean,coverage_p50,coverage_p90,coverage_max,graph_filename
0.832,16,0.1529320401683437,0.0426920273478159,0.052490252244815155,1.2211538461538463,0.29748917748917747,1.848,2.0,3.0,3,results/NSGA2Novelty_G_P_20251023_142545
0.824,16,0.19941711970823375,0.04190159775175717,0.06299992616427469,1.4466019417475728,0.4016349206349207,2.016,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142546
0.736,16,0.1437705124122395,0.07640030094152263,0.10805944552143879,2.5815217391304346,0.47003945371775413,2.636,3.0,5.0,9,results/NSGA2Novelty_G_P_20251023_142546
0.932,16,0.17680409144858564,0.05918583842325485,0.047157089541183625,1.2274678111587982,0.3268978805394991,2.076,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142547
0.932,16,0.1418064371182605,0.10944497683496804,0.0783144631837255,2.2317596566523603,0.3470756972111554,3.012,3.0,6.0,6,results/NSGA2Novelty_G_P_20251023_142548
0.904,16,0.15291393749415486,0.044777657674315345,0.05500752548935354,1.1460176991150441,0.29546391752577317,1.94,2.0,3.0,4,results/NSGA2Novelty_G_P_20251023_142549
0.836,16,0.16040466566702302,0.07881516762841076,0.11218879565055137,2.3157894736842106,0.4751341991341992,2.772,2.0,7.0,8,results/NSGA2Novelty_G_P_20251023_142550
0.724,16,0.17420601575835232,0.05888646235802105,0.1032563275574927,2.2375690607734806,0.43638225255972696,2.344,2.0,5.0,5,results/NSGA2Novelty_G_P_20251023_142551
0.856,16,0.1481251311752308,0.049645082142673644,0.06881290220188419,1.1121495327102804,0.3131858407079646,1.808,2.0,3.0,4,results/NSGA2Novelty_G_P_20251023_142552
0.744,16,0.18818211860198056,0.05002471679592801,0.07975537211343958,1.2365591397849462,0.4868269230769231,1.664,1.0,4.0,6,results/NSGA2Novelty_G_P_20251023_142553
0.828,16,0.14025412740730975,0.04655938748277115,0.03726504461078335,0.8357487922705314,0.3633894736842105,1.52,1.0,3.0,3,results/NSGA2Novelty_G_P_20251023_142553
0.796,16,0.1402485659183624,0.0500184541024104,0.06644127441245178,1.5326633165829147,0.38957142857142857,2.016,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142554
0.724,16,0.1875611036950426,0.024460290011296737,0.0644237990770674,1.281767955801105,0.43024697336561746,1.652,2.0,3.0,4,results/NSGA2Novelty_G_P_20251023_142555
0.888,16,0.18709326091017964,0.0813482353982944,0.0746692035503905,1.9774774774774775,0.28689258698941,2.644,3.0,4.0,4,results/NSGA2Novelty_G_P_20251023_142556
0.988,16,0.16670996739221816,0.04383955537616852,0.05239587230857204,1.0890688259109311,0.21099224806201555,2.064,2.0,3.0,4,results/NSGA2Novelty_G_P_20251023_142557
0.764,16,0.21476264222848984,0.044977227702042474,0.1000707008411332,1.7958115183246073,0.48918352059925096,2.136,2.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142558
0.84,16,0.15335333109099847,0.048889156158103415,0.07055285474218935,1.3761904761904762,0.4237034068136273,1.996,2.0,4.0,6,results/NSGA2Novelty_G_P_20251023_142559
0.848,16,0.17636081671500822,0.06451023846582196,0.05582660598525967,1.5943396226415094,0.38302545454545456,2.2,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142600
0.648,16,0.1892970610182712,0.06227380537700346,0.11709600599842948,2.5308641975308643,0.5098041958041958,2.288,3.0,5.0,7,results/NSGA2Novelty_G_P_20251023_142601
0.708,16,0.18272547385807592,0.06296942728449252,0.11563992808290167,2.457627118644068,0.5031633986928105,2.448,2.0,5.0,7,results/NSGA2Novelty_G_P_20251023_142601
0.7,16,0.1415395338818952,0.022118619071100534,0.05998715906363099,0.9314285714285714,0.4824142011834319,1.352,1.0,3.0,5,results/NSGA2Novelty_G_P_20251023_142602
0.9,16,0.16151173077934106,0.06081528842530608,0.04577418298701751,1.0444444444444445,0.36817391304347824,1.84,1.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142603
0.992,16,0.18912407171682638,0.08230296677646054,0.06414203141094349,1.625,0.25567434715821813,2.604,3.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142604
0.872,16,0.13728536322016788,0.07096931928344517,0.07426597614857347,1.6972477064220184,0.3767891156462585,2.352,2.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142605
0.912,16,0.2057358302080821,0.05791710272564974,0.05963200847765509,1.3026315789473684,0.34649142857142856,2.1,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142606
