global_coverage,n_rules,average_crowding_distance,average_error,overlap_mean_jaccard,overlap_redundancy,overlap_gini_coverage,coverage_mean,coverage_p50,coverage_p90,coverage_max,graph_filename
1.0,16,0.11328123549130252,0.3156115685712051,0.46501131571720283,9.384,0.12062865947611712,10.384,11.0,13.0,13,results/NSGA2_20251023_142850
1.0,16,0.10475017184237283,0.2732585788077835,0.42451584132658887,8.572,0.16151274550773087,9.572,10.0,12.099999999999994,14,results/NSGA2_20251023_142850
1.0,16,0.08508008919726909,0.25176301140710666,0.3924061621133992,7.84,0.19639457013574657,8.84,9.0,13.0,13,results/NSGA2_20251023_142851
1.0,16,0.1006824789732377,0.251535328336677,0.3934025468563983,8.26,0.11322850971922249,9.26,10.0,11.099999999999994,12,results/NSGA2_20251023_142851
1.0,16,0.11034193496289493,0.2999542305537205,0.4304885533024005,8.948,0.11645034177724167,9.948,10.0,12.0,13,results/NSGA2_20251023_142851
1.0,16,0.11694131124795915,0.2767522970718289,0.4057482013378658,8.748,0.08996799343455064,9.748,10.0,11.0,12,results/NSGA2_20251023_142852
1.0,16,0.11039604189919393,0.2823104413176096,0.3375341309543459,7.696,0.1202023919043238,8.696,10.0,10.0,11,results/NSGA2_20251023_142852
1.0,16,0.10652839053144583,0.2923073469214871,0.35651801170425185,8.0,0.13742222222222222,9.0,9.0,12.0,13,results/NSGA2_20251023_142853
1.0,16,0.10262457224667113,0.310688214665495,0.5252557500744609,9.944,0.12397953216374269,10.944,12.0,13.0,14,results/NSGA2_20251023_142853
1.0,16,0.1057986830333985,0.29311498739820835,0.5716935963741014,10.264,0.14123011363636362,11.264,12.0,14.0,15,results/NSGA2_20251023_142854
1.0,16,0.09739548774403306,0.31332832621041207,0.4403875990296644,9.068,0.10005085419149784,10.068,11.0,12.0,12,results/NSGA2_20251023_142854
1.0,16,0.11050236783544468,0.27093147107440463,0.3823327226596896,8.4,0.09081872340425534,9.4,10.0,11.0,13,results/NSGA2_20251023_142854
1.0,16,0.1075404962019961,0.26887909853868563,0.4031811010087185,8.68,0.09554380165289256,9.68,10.0,11.0,12,results/NSGA2_20251023_142855
1.0,16,0.09289625496002336,0.27218835918461143,0.463063693181248,9.028,0.15850817710410847,10.028,11.0,13.0,14,results/NSGA2_20251023_142855
1.0,16,0.1088890272500966,0.271599338533131,0.4612181683290714,8.724,0.18497902097902097,9.724,11.0,13.0,13,results/NSGA2_20251023_142856
1.0,16,0.10641285215177267,0.2438540837519191,0.42582039231019914,8.256,0.1821192739844425,9.256,10.0,13.0,13,results/NSGA2_20251023_142856
1.0,16,0.08955409029818549,0.30961216642828376,0.4167776755873231,8.496,0.16065037910699242,9.496,10.0,13.0,14,results/NSGA2_20251023_142856
1.0,16,0.10155055635450656,0.26224270771444547,0.4522547330844924,8.92,0.14979677419354842,9.92,10.0,14.0,14,results/NSGA2_20251023_142857
1.0,16,0.07801307277549645,0.29282981013270415,0.3639701468123825,8.08,0.12766167400881057,9.08,10.0,11.0,12,results/NSGA2_20251023_142857
1.0,16,0.07859900963091025,0.290206608380912,0.33245376273566113,7.764,0.11844272021907809,8.764,9.0,11.0,11,results/NSGA2_20251023_142858
1.0,16,0.0911901011233562,0.27417791774156963,0.4458884907503334,8.88,0.15485020242914982,9.88,10.0,13.0,14,results/NSGA2_20251023_142858
1.0,16,0.09667173709341415,0.281831169616417,0.45237778978066906,8.936,0.15830595813204507,9.936,11.0,13.0,14,results/NSGA2_20251023_142859
1.0,16,0.07623680990533843,0.3532501861403675,0.49264913018421624,9.876,0.10463699889665323,10.876,11.0,13.099999999999994,14,results/NSGA2_20251023_142859
1.0,16,0.11918883958350066,0.31354221990898556,0.4481493633011792,9.348,0.09150521839969072,10.348,11.0,12.0,12,results/NSGA2_20251023_142859
1.0,16,0.095612638867706,0.2890484787330675,0.4013179851459743,8.652,0.10645835060091169,9.652,11.0,12.0,12,results/NSGA2_20251023_142900
1.0,16,0.10381439696988166,0.27923084821521105,0.4126115929005662,8.724,0.11958041958041954,9.724,10.0,12.0,13,results/NSGA2_20251023_142900
1.0,16,0.09344449576358725,0.3013497986617186,0.5359501090049908,9.996,0.1428664969079665,10.996,12.0,14.0,14,results/NSGA2_20251023_142901
1.0,16,0.11067226591614111,0.328998001117766,0.46084843898165345,9.624,0.06961746987951811,10.624,11.0,12.0,13,results/NSGA2_20251023_142901
1.0,16,0.09179915303849102,0.2893827899946278,0.4228987305313818,8.816,0.09894376528117355,9.816,10.0,12.0,13,results/NSGA2_20251023_142902
1.0,16,0.09501502846426624,0.2816961301535661,0.4542358435758103,9.172,0.13011875737318124,10.172,11.0,13.0,13,results/NSGA2_20251023_142902
1.0,16,0.09469361945264916,0.30352218813560217,0.47999219636226537,9.388,0.14071775125144392,10.388,11.0,14.0,14,results/NSGA2_20251023_142903
1.0,16,0.11472174977574422,0.2960690617293682,0.45848522519275675,9.32,0.11285891472868215,10.32,11.0,13.0,14,results/NSGA2_20251023_142903
1.0,16,0.10342367427709256,0.2558715260033374,0.35462867588333435,8.044,0.09183370190181339,9.044,9.0,11.0,11,results/NSGA2_20251023_142903
1.0,16,0.10068872816912493,0.25854667517345176,0.39740667751926495,7.984,0.1880213713268032,8.984,9.0,13.0,14,results/NSGA2_20251023_142904
1.0,16,0.11826339778824987,0.2775313494620779,0.3478013908358248,7.848,0.1318481012658228,8.848,9.0,11.0,12,results/NSGA2_20251023_142904
1.0,16,0.09390074907826941,0.31276337243577707,0.3705077881342273,8.284,0.1126255924170616,9.284,10.0,11.0,12,results/NSGA2_20251023_142905
1.0,16,0.09837852145083838,0.2636054779937422,0.4223225811260559,8.532,0.15422408728493497,9.532,9.0,13.0,14,results/NSGA2_20251023_142905
1.0,16,0.09512395047076912,0.2910718415025701,0.42824598826039745,8.928,0.12525705076551163,9.928,10.0,13.0,13,results/NSGA2_20251023_142905
1.0,16,0.1051671530683176,0.2843685276772891,0.3803046585743854,8.192,0.1325465622280244,9.192,9.0,12.0,13,results/NSGA2_20251023_142906
1.0,16,0.1193254820426752,0.32843061409047797,0.5393542720884089,10.06,0.13809620253164556,11.06,11.0,14.0,15,results/NSGA2_20251023_142906
1.0,16,0.10164982012574571,0.2757402811530632,0.39240176567841895,8.432,0.11696013570822728,9.432,10.0,11.0,12,results/NSGA2_20251023_142907
1.0,16,0.11232012562940345,0.28249028238272555,0.3944899865978059,8.432,0.1337574215436811,9.432,10.0,12.0,13,results/NSGA2_20251023_142907
1.0,16,0.096856756193941,0.3010678119920428,0.48321367364692186,9.7,0.10408822429906539,10.7,11.0,13.0,13,results/NSGA2_20251023_142907
1.0,16,0.09918390054333263,0.25745344996597946,0.3957071111637783,7.956,0.19336668155426529,8.956,9.0,12.0,13,results/NSGA2_20251023_142908
1.0,16,0.10139043398813943,0.2682382102794933,0.4547456616421132,9.116,0.12744167655199679,10.116,11.0,12.0,14,results/NSGA2_20251023_142908
1.0,16,0.0866929727439956,0.3042534427137343,0.40289906353652605,8.696,0.10093399339933995,9.696,10.0,12.0,13,results/NSGA2_20251023_142909
1.0,16,0.093591089009139,0.2930271624959014,0.4082647251522721,8.752,0.09571123872026255,9.752,10.0,11.0,12,results/NSGA2_20251023_142909
1.0,16,0.12079852976891665,0.2725746541487706,0.3154073154277919,7.512,0.11893233082706767,8.512,9.0,11.0,11,results/NSGA2_20251023_142909
